제목,연도,나라,유형,장르,감독
이블 스네이크: 무언의 침입자,2010,태국,장편,공포(호러),타나돌 누알수드
이트,2014,미국,장편,공포(호러),지미 웨버
인플릭션,2014,미국,장편,공포(호러),잭 토마스 스미스
장화  홍련,2003,한국,장편,공포(호러),김지운
전설의 고향,2006,한국,장편,공포(호러),김지환
죽음의 숲-어느날 갑자기 네번째 이야기,2006,한국,장편,공포(호러),김정민
착신아리,2003,일본,장편,공포(호러),미이케 다카시
천동,1973,한국,장편,공포(호러),이유섭
캔디맨,1993,미국,장편,공포(호러),버나드 로즈
큐어,1997,일본,장편,공포(호러),구로사와 기요시
크롬스컬: 레이드 투 레스트 2,2011,미국,장편,공포(호러),로버트 홀
타탕카 호수의 살인,2005,미국,장편,공포(호러),루이스 쇼엔브런
툴박스 머더 2,2013,미국,장편,공포(호러),딘 존스
파이널 데스티네이션 블러드라인,2025,미국,장편,공포(호러),아담 B. 스테인 잭 리포브스키
페이스 오브 데블,2014,페루,장편,공포(호러),프랭크 페레즈-가랜드
폰,2002,한국,장편,공포(호러),안병기
피라냐콘다,2012,미국,장편,공포(호러),짐 위노스키
하얀방,2002,한국,장편,공포(호러),임창재
한밤의 살인자,2013,미국,장편,공포(호러),S.J. 에반스
할로윈,1978,미국,장편,공포(호러),존 카펜터
헌팅 더 레전드,2014,미국,장편,공포(호러),저스틴 스틸리
헌팅 인 살렘: 악령의 마을,2011,미국,장편,공포(호러),쉐인 반 다이크
호스틸,2014,프랑스,장편,공포(호러),나단 엠브로시오니
화성의 유령들,2001,미국,장편,공포(호러),존 카펜터
화이트: 저주의 멜로디,2011,한국,장편,공포(호러),김곡 김선
회로,2001,일본,장편,공포(호러),구로사와 기요시
흉가 : 유령의 집,2011,미국,장편,공포(호러),조프 미드
흉가괴담,2012,미국,장편,공포(호러),마틴 앤더슨
흉택유령,2002,중국,장편,공포(호러),아감
D-day-어느날 갑자기 세번째 이야기,2006,한국,장편,공포(호러),김은경
올가미,1997,한국,장편,공포(호러),김성홍
퍼니게임,1997,오스트리아,장편,공포(호러),미카엘 하네케
안젤라의 일기 - 두 감독: 챕터 2,2019,이탈리아,장편,다큐멘터리,예르반트 지아니키안
수상 관저 앞에서,2015,일본,장편,다큐멘터리,오구마 에이지
소야곡,2017,한국,장편,다큐멘터리,오규익
무브@8PM,2022,한국,장편,다큐멘터리,정가원
트립 오브 블루스,2018,한국,장편,다큐멘터리,성승택
송해 1927,2021,한국,장편,다큐멘터리,윤재호
연인과 독재자,2016,영국,장편,다큐멘터리,로스 아담 로버트 캐넌
고지 위의 소년들,2024,한국,장편,다큐멘터리,이미진 김세미
머리카락,2019,한국,장편,다큐멘터리,이미해
원평 - 더 블라인드 페인터,2020,한국,장편,다큐멘터리,이반석
오이 못 먹습니다만,2020,한국,장편,다큐멘터리,이병기
같이,2016,한국,장편,다큐멘터리,이병기
더 높이 날아올라,2015,네덜란드,단편,다큐멘터리,이사벨 람베르티
비바 라 비다,2020,한국,장편,다큐멘터리,이상목
코랄 러브,2023,한국,장편,다큐멘터리,이소정
장기자랑,2022,한국,장편,다큐멘터리,이소현
할머니의 먼 집,2016,한국,장편,다큐멘터리,이소현
인사이트: 북한 사람을 보다,2022,한국,장편,다큐멘터리,이송민
에움길,2019,한국,장편,다큐멘터리,이승현
불온한 당신,2015,한국,장편,다큐멘터리,이영
그곳  날씨는,2019,한국,장편,다큐멘터리,이원우
옵티그래프,2017,한국,장편,다큐멘터리,이원우
온 더 로드,2021,한국,장편,다큐멘터리,이재한
동행: 10년의 발걸음,2022,한국,장편,다큐멘터리,이재호
치유,2015,캐나다,단편,다큐멘터리,로익 다스
월 롸이터,2016,미국,장편,다큐멘터리,로저 게스트맨
퀸 엘리자베스,2022,영국,장편,다큐멘터리,로저 미첼
여배우들의 티타임,2018,영국,장편,다큐멘터리,로저 미첼
뉴욕 42번가 기타샵,2018,캐나다,장편,다큐멘터리,론 만
인류에게 밥 주는 남자,2022,미국,장편,다큐멘터리,론 하워드
파바로티,2019,영국,장편,다큐멘터리,론 하워드
더 게임 체인저스,2018,미국,장편,다큐멘터리,루이 시호요스
레이싱 익스팅션,2015,미국,장편,다큐멘터리,루이 시호요스
펭귄-위대한 모험 2,2016,프랑스,장편,다큐멘터리,뤽 자케
뷰티플 마인드,2018,한국,장편,다큐멘터리,류장하 손미
나의 살던 고향은,2016,한국,장편,다큐멘터리,류종헌
불꽃의 기억,2024,한국,장편,다큐멘터리,류형석
그루잠,2018,한국,장편,다큐멘터리,류형석
코리도라스,2021,한국,장편,다큐멘터리,류형석
발리: 천상의 울림,2018,미국,장편,다큐멘터리,리비 쳉
페기 구겐하임: 아트 애딕트,2015,미국,장편,다큐멘터리,리사 이모르디노 브릴랜드
도시 목격자,2017,한국,장편,다큐멘터리,리슨 투 더 시티
나미브 사막의 사자들,2015,오스트리아,장편,다큐멘터리,리안 스틴캄프 윌 스틴캄프
고기의 미래를 만나다,2020,캐나다,장편,다큐멘터리,리즈 마샬
올리버 색스: 그의 생애,2019,미국,장편,다큐멘터리,릭 번스
쇼 미 더 파더,2021,미국,장편,다큐멘터리,릭 알티저
에릭 클랩튼: 기타의 신,2017,영국,장편,다큐멘터리,릴리 피니 자눅
풋볼 브라더스,2015,폴란드,단편,다큐멘터리,마르신 필리보비츠
퓨쳐 베이비,2016,오스트리아,장편,다큐멘터리,마리아 엘레마브스키
오후,2015,대만,장편,다큐멘터리,차이 밍 량
코로나 이펙트,2022,미국,장편,다큐멘터리,챈들러 클라크
표범,2020,한국,장편,다큐멘터리,최기순
춘천대첩 72시간,2024,한국,장편,다큐멘터리,최동호 장이레
샤먼 로드,2018,한국,장편,다큐멘터리,최상진
바람의 춤꾼,2017,한국,장편,다큐멘터리,최상진
자백,2016,한국,장편,다큐멘터리,최승호
공범자들,2017,한국,장편,다큐멘터리,최승호
히어로는 없다,2021,한국,장편,다큐멘터리,최은원
나부야 나부야,2018,한국,장편,다큐멘터리,최정우
아직도  우리는 이주노동자다,2018,한국,장편,다큐멘터리,최종만
오류시장,2023,한국,장편,다큐멘터리,최종호
꿈으로 가득한,2015,네덜란드,단편,다큐멘터리,마린카 드 욘
착지연습,2020,한국,장편,다큐멘터리,마민지
노란문: 세기말 시네필 다이어리,2023,한국,장편,다큐멘터리,이혁래
미싱타는 여자들,2020,한국,장편,다큐멘터리,이혁래 김정영
청춘 : 하나의 꿈,2016,한국,장편,다큐멘터리,이혁종
청춘 합창단 - 또 하나의 꿈,2017,한국,장편,다큐멘터리,이혁종 안정민
기억의 집,2023,한국,장편,다큐멘터리,이현옥
뚜르: 내 생애 최고의 49일,2016,한국,장편,다큐멘터리,임정하 전일우 박형준 김양래
언브랜디드,2015,미국,장편,다큐멘터리,필립 바리보
올드 데이즈,2016,한국,장편,다큐멘터리,한선희
안녕 히어로,2016,한국,장편,다큐멘터리,한영희
웰컴 투 X-월드,2019,한국,장편,다큐멘터리,한태의
내가 모른 척한 것,2018,한국,장편,다큐멘터리,한혜성
프리저베이션홀 재즈밴드,2018,미국,장편,다큐멘터리,T.G. 헤링턴 대니 클린치
마닐라의 레이디보이,2016,한국,장편,다큐멘터리,장후영
마이 페어 웨딩,2015,한국,장편,다큐멘터리,장희선
찬란히 빛나는,2016,프랑스,단편,다큐멘터리,쟝 크리스토프 피셔
해일 앞에서,2019,한국,장편,다큐멘터리,전성연
삼각형의 마음,2023,한국,장편,다큐멘터리,안지환
아이슬란드 트라이펙타,2015,미국,단편,다큐멘터리,안톤 로리메르
힙노시스: LP 커버의 전설,2022,영국,장편,다큐멘터리,안톤 코르빈
분노,2019,한국,장편,다큐멘터리,안해룡 이토 다카시
멀리있는 그대와 가까이 있는 당신에게,2017,한국,장편,다큐멘터리,안현준
걸 위드 더 카메라,2021,한국,장편,다큐멘터리,안희수
건축의 선구자 페터 베렌스,2015,독일,단편,다큐멘터리,알렉산더 로렌즈
밤쉘,2017,미국,장편,다큐멘터리,알렉산드라 딘
산불과 사람들,2015,미국,단편,다큐멘터리,알렉스 타이슨
러브트루,2016,미국,장편,다큐멘터리,알마 하렐
집으로 데려다 주오,2016,이란,단편,다큐멘터리,압바스 키아로스타미
헤일,2015,세르비아,단편,다큐멘터리,앙헬 리나레스
해리포터와 잉크 마법사의 여행,2020,미국,장편,다큐멘터리,액설 아르졸라
컨츄리 바이커,2015,영국,단편,다큐멘터리,앨라스터 험프리스
제비집의 여정,2017,캐나다,단편,다큐멘터리,앨런 푼
자연힐링,2022,한국,장편,다큐멘터리,앨리스홍
이차크의 행복한 바이올린,2017,미국,장편,다큐멘터리,앨리슨 쉐르닉
최고의 선물 생명나눔,2021,한국,장편,다큐멘터리,야고보
인생의 황혼,2018,독일,장편,다큐멘터리,야세민 삼데렐리
카틱,2015,터키,단편,다큐멘터리,야야 에르잔
장 폴 고티에: 프릭 앤 시크,2018,프랑스,장편,다큐멘터리,얀 레노레
무현  두 도시 이야기 : 파이널 컷,2017,한국,장편,다큐멘터리,전인환
무현  두 도시 이야기,2016,한국,장편,다큐멘터리,전인환
다섯 번째 방,2023,한국,장편,다큐멘터리,전찬영
플라잉,2015,네덜란드,단편,다큐멘터리,얀 반 이즈켄
인류의 유산,2021,프랑스,장편,다큐멘터리,얀 아르튀스-베르트랑
휴먼,2015,프랑스,장편,다큐멘터리,얀 아르튀스-베르트랑
우먼,2019,프랑스,장편,다큐멘터리,얀 아르튀스-베르트랑 아나스타샤 미코바
베이프 웨이브,2016,스위스,장편,다큐멘터리,얀 쿠넹
세상 받든 이야기 마더 박청수,2018,한국,장편,다큐멘터리,양수진
다른 세계,2017,한국,장편,다큐멘터리,양수환
수프와 이데올로기,2021,한국,장편,다큐멘터리,양영희
노프라블랜드,2019,한국,장편,다큐멘터리,양재영
괜찮아  앨리스,2023,한국,장편,다큐멘터리,양지혜
산적의 꿈,2018,한국,장편,다큐멘터리,양태진
바람이 전하는 말,2024,한국,장편,다큐멘터리,양희
피아니스트 세이모어의 뉴욕 소네트,2015,미국,장편,다큐멘터리,에단 호크
마지막 8월 : 어느 기념비의 이야기,2016,아르헨티나,장편,다큐멘터리,에두와르도 엘 산체스
A Day in Fukuoka,2023,한국,장편,다큐멘터리,전찬영
1959년의 김시스터즈 - 숙자  애자  민자 언니들에게,2020,프랑스,단편,다큐멘터리,전채린
불의 날  생명을 말하다,2015,한국,장편,다큐멘터리,전화성
경이에 빠진 관객,2016,포르투갈,장편,다큐멘터리,에드가 페라
프리덤 투 메리,2016,미국,장편,다큐멘터리,에드워드 로젠스타인
호수의 딸,2015,페루,장편,다큐멘터리,에르네스토 카벨로스
스포츠 키즈 - 댄싱 포 유,2015,노르웨이,단편,다큐멘터리,에를렌 E. 모
드라마틱 필름,2019,프랑스,장편,다큐멘터리,에릭 보들레르
슈윙! 블루 노트 레코드 스토리,2018,독일,장편,다큐멘터리,에릭 프리에들러
쓰키지 원더랜드,2016,일본,장편,다큐멘터리,엔도 나오타로
뱅크시,2020,영국,장편,다큐멘터리,엘리오 에스파나
우리 집에 호랑이가 산다,2015,스웨덴,단편,다큐멘터리,엘리자베스 왓슨
그림자 놀이,2021,네덜란드,장편,다큐멘터리,엘스 반 드리엘
엄마와 나,2022,한국,장편,다큐멘터리,연왕모
모던코리아: 한국음식 만들기,2024,한국,장편,다큐멘터리,염지선
언더그라운드,2024,일본,장편,다큐멘터리,오다 카오리
플래시,2015,일본,단편,다큐멘터리,오다 카오리
등대,2024,일본,단편,다큐멘터리,오다 카오리
나이트 크루즈,2019,일본,단편,다큐멘터리,오다 카오리
바람의 교회,2019,일본,단편,다큐멘터리,오다 카오리
튠,2018,일본,단편,다큐멘터리,오다 카오리
천,2017,일본,단편,다큐멘터리,오다 카오리
색채론: 서장,2017,일본,단편,다큐멘터리,오다 카오리
시네 누보 20주년 프로젝트,2017,일본,단편,다큐멘터리,오다 카오리
다정함을 향해,2017,일본,장편,다큐멘터리,오다 카오리
가마,2023,일본,장편,다큐멘터리,오다 카오리
땅을 사라,2016,프랑스,장편,다큐멘터리,오렐리안 리베크 루바 빈크
해협,2019,한국,장편,다큐멘터리,오민욱
범전,2015,한국,장편,다큐멘터리,오민욱
성덕,2021,한국,장편,다큐멘터리,오세연
더 한복판으로,2020,한국,장편,다큐멘터리,오소영
더 소노 시온: 소노 시온이라는 생물,2015,일본,장편,다큐멘터리,오시마 아라타
인플루언서,2020,한국,장편,다큐멘터리,오영근
몬스타엑스 : 더 드리밍,2021,한국,장편,다큐멘터리,오윤동
토이 솔져스: 가짜사나이2 더 컴플리트,2020,한국,장편,다큐멘터리,오윤동
피아노 프리즘,2021,한국,장편,다큐멘터리,오재형
몽상가들,2021,한국,장편,다큐멘터리,오정택
느티나무 아래,2022,한국,장편,다큐멘터리,오정훈
벼꽃,2017,한국,장편,다큐멘터리,오정훈
만덕,2015,한국,장편,다큐멘터리,오준영
세 가지 안부,2024,한국,장편,다큐멘터리,오지수 한영희 주현숙
안개의 아이들이 사는 땅,2015,뉴질랜드,장편,다큐멘터리,세라 그로너트
아우스터리츠,2016,독일,장편,다큐멘터리,세르게이 로즈니차
축구장 가는 길,2015,스페인,장편,다큐멘터리,세르히오 옥스만
바람의 선율,2015,스위스,단편,다큐멘터리,세바스티앙 데브리앙
리틀 걸,2020,프랑스,장편,다큐멘터리,세바스티앙 리프쉬츠
테레즈의 삶,2016,프랑스,장편,다큐멘터리,세바스티앙 리프쉬츠
